Disease_Code,Name,Symptoms,Treatments,Chronic,Contagious
D001,Gestational Cholestasis," particularly on the hands and feet, Itchy skin",Immediate medical attention,False,False
D002,Injury to Internal Organ," bleeding,  organ dysfunction, Abdominal pain"," diagnostic tests,  surgery (in some cases), Immediate medical attention",False,False
D003,Scabies," especially at night,  small blisters or bumps, Intense itching"," vacuuming and cleaning home,  washing clothes and bedding in hot water, Prescription medications (topical or oral scabicides)",True,False
D004,Congenital Glaucoma," excessive tearing,  sensitivity to light, Cloudy or hazy eyes"," goniotomy) to create a new drainage pathway,  medications to reduce intraocular pressure,  trabeculotomy, Surgery (e.g.",True,False
D005,Avoidant/Restrictive Food Intake Disorder (ARFID)," significant weight loss or failure to gain weight, Avoidance or restriction of certain foods or entire food groups"," exposure therapy,  medical monitoring,  occupational therapy,  psychotherapy (such as cognitive-behavioral therapy or family-based therapy), Nutritional counseling",True,False
D006,Subdural hemorrhage," confusion,  dizziness,  nausea or vomiting,  seizures,  weakness or numbness, Headache"," close monitoring of vital signs and neurological status,  diagnostic imaging (such as CT or MRI scan),  medication to manage symptoms,  potential surgical intervention (such as craniotomy or burr hole evacuation), Immediate medical attention",True,False
D007,Poisoning due to Antidepressants," changes in heart rate,  confusion,  dizziness,  drowsiness,  low blood pressure,  respiratory distress,  seizures,  vomiting, Nausea"," activated charcoal (if indicated),  administration of antidotes (if available and appropriate),  airway management),  gastric lavage (in certain cases),  monitoring and management of complications,  supportive care (maintaining vital signs, Seek immediate medical assistance or contact a poison control center",True,False
D008,Mittelschmerz,Lower abdominal pain and discomfort occurring around the time of ovulation," heat therapy),  hormonal birth control (if severe or recurrent), Pain management (over-the-counter pain relievers",True,False
D009,Cornea Infection," blurred or decreased vision,  increased sensitivity to light,  pain or discomfort, Eye redness"," oral medications,  possible corneal transplant (in severe cases),  supportive care, Antibiotic or antifungal eye drops",True,False
D010,Myopia," eyestrain,  squinting, Blurred distance vision"," contact lenses,  orthokeratology (for some cases),  refractive surgery (LASIK), Eyeglasses",False,False
D011,Abscess of the Lung," chest pain,  fatigue,  fever,  shortness of breath, Cough with phlegm or pus"," drainage or surgical removal of the abscess,  management of underlying lung conditions,  supportive care, Antibiotics",False,True
D012,Congenital rubella," hearing loss,  heart defects,  intellectual disability,  liver or spleen enlargement,  rash at birth,  vision problems, Developmental delays"," early intervention services for developmental delays,  educational support,  specialized medical care as needed,  vision and hearing interventions, Supportive care to manage symptoms and complications",False,False
D013,Intertrigo," itching or burning sensation,  or inflamed skin in skin folds (such as armpits or groin),  raw, Red"," applying topical antifungal or antibacterial creams,  using barrier creams, Keeping the affected area clean and dry",False,False
D014,Insect Bites," itchy bumps,  swollen, Red"," cold compresses,  oral antihistamines, Topical corticosteroids",False,False
D015,Complex Regional Pain Syndrome," abnormal sweating,  changes in skin color or temperature,  limited range of motion,  often in the limbs,  with associated swelling, Severe and chronic pain"," and mirror therapy),  graded motor imagery,  nerve blocks,  occupational therapy,  or spinal cord stimulation),  pain management techniques (such as medications,  patient education and self-management techniques,  psychological support (such as cognitive-behavioral therapy or counseling),  stretching,  sympathetic nerve blocks,  transcutaneous electrical nerve stimulation (TENS), Physical therapy (including exercises",True,False
D016,Anxiety," increased heart rate,  panic attacks,  restlessness, Excessive worrying"," anti-anxiety drugs),  medications (antidepressants,  psychotherapy), Therapy (cognitive-behavioral therapy",True,False
D017,Gastroesophageal Reflux Disease (GERD)," acid reflux,  chest pain, Heartburn"," medications (antacids,  proton pump inhibitors), Lifestyle changes",True,False
D018,Crushing Injury," bruising,  deformity,  difficulty moving or using the affected area,  swelling, Severe pain"," immobilization,  occupational therapy),  pain management,  rehabilitation (physical therapy,  surgery (to repair or reconstruct affected tissues), Emergency medical attention",True,False
D019,Cellulitis," Lymph node enlargement,  Pain,  Skin changes,  Swelling,  tenderness, Redness"," Pain management,  Warm compresses,  immobilization,  rest, Antibiotics",False,False
D020,Anal Fissure," rectal bleeding, Pain during bowel movements"," fiber supplements,  surgical procedures (in severe cases),  topical ointments, Stool softeners",False,False
